query,target,method,time
ms2_spec,6354,mzDB,0.06954080006107688
ms2_spec,6354,MZA,0.0012776998337358236
ms2_spec,6354,mz5,0.0393072001170367
ms2_spec,6354,SQLite,0.23910839995369315
ms2_spec,6354,DuckDB,0.011493499856442213
ms2_spec,6354,Parquet,0.05130120017565787
ms2_spec,3140,pyteomics,2.3462912999093533
ms2_spec,3140,pyopenms,2.7163915999699384
ms2_spec,3140,pymzml,0.04419879987835884
ms2_spec,3140,mzMLb,2.3688471000641584
ms2_spec,3140,mzDB,0.034301800187677145
ms2_spec,3140,MZA,0.001395499799400568
ms2_spec,3140,mz5,0.04130629985593259
ms2_spec,3140,SQLite,0.24026230000890791
ms2_spec,3140,DuckDB,0.011530699906870723
ms2_spec,3140,Parquet,0.055802399991080165
ms2_spec,912,pyteomics,0.892853100085631
ms2_spec,912,pyopenms,2.733639500103891
ms2_spec,912,pymzml,0.05711889988742769
ms2_spec,912,mzMLb,0.6741806999780238
ms2_spec,912,mzDB,0.04591519990935922
ms2_spec,912,MZA,0.0017989999614655972
ms2_spec,912,mz5,0.03967820014804602
ms2_spec,912,SQLite,0.24561670003458858
ms2_spec,912,DuckDB,0.02246550004929304
ms2_spec,912,Parquet,0.052837900118902326
premz,391.283612072468,pyteomics,6.915094699943438
premz,391.283612072468,pyopenms,2.8043144000694156
premz,391.283612072468,pymzml,2.8271904001012444
premz,391.283612072468,mzMLb,5.9558816000353545
premz,391.283612072468,mzDB,0.0797609998844564
premz,391.283612072468,MZA,1.8381201999727637
premz,391.283612072468,SQLite,0.018697499996051192
premz,391.283612072468,DuckDB,0.02464960003271699
premz,391.283612072468,Parquet,0.00983889983035624
premz,666.617626965046,pyteomics,6.869187499862164
premz,666.617626965046,pyopenms,2.7435282999649644
premz,666.617626965046,pymzml,2.7892334000207484
premz,666.617626965046,mzMLb,6.001734900055453
premz,666.617626965046,mzDB,0.034493399783968925
premz,666.617626965046,MZA,2.1810674001462758
premz,666.617626965046,SQLite,0.018814700189977884
premz,666.617626965046,DuckDB,0.01132400007918477
premz,666.617626965046,Parquet,0.00876670004799962
premz,758.568798840046,pyteomics,6.828945799963549
premz,758.568798840046,pyopenms,2.732966900104657
premz,758.568798840046,pymzml,2.795721600065008
premz,758.568798840046,mzMLb,6.071575299836695
premz,758.568798840046,mzDB,0.034455500077456236
premz,758.568798840046,MZA,1.8803632999770343
premz,758.568798840046,SQLite,0.018513499991968274
premz,758.568798840046,DuckDB,0.011516899801790714
premz,758.568798840046,Parquet,0.009160800138488412
premz,782.56873780489,pyteomics,6.759648900013417
premz,782.56873780489,pyopenms,2.734863599995151
premz,782.56873780489,pymzml,2.8544989998918027
premz,782.56873780489,mzMLb,5.992976400069892
premz,782.56873780489,mzDB,0.06943010003305972
premz,782.56873780489,MZA,1.8328416999429464
premz,782.56873780489,SQLite,0.018371100071817636
premz,782.56873780489,DuckDB,0.011062399949878454
premz,782.56873780489,Parquet,0.0087396998424083
